용어,설명
가계수지,"일정기간 중 가구의 총수입과 총지출을 가계수지라고 하는데 언제나 「총수입 = 총지출」의 관계가 성립된다.

· 총 수 입 = 소득+기타수입+전월이월금
· 총 지 출 = 소비지출+비소비지출+기타지출+월말현금잔고
· 흑 자 = 소득-가계지출 = 소득-(소비지출+비소비지출) = 처분가능소득-소비지출
· 흑자율(%) = (흑자 ÷ 가처분소득) × 100"
가계에 봉사하는 비영리단체,"가계에 봉사하는 비영리단체(NPISH, Non-profit institutions serving households)란 가계에 재화나 서비스를 무상 또는 경제적으로 의미없는 가격으로 제공하는 비영리단체를 가리키며 종교단체, 정당, 노동조합, 소비자단체, 자선단체 등이 대표적인 예이다. "
가계총처분가능소득(PGDI),가계가 소비나 저축으로 처분할 수 있는 소득으로 고정자본소모를 합산하여 산출
가공무역,거주자가 소유하거나 해외에서 조달한 원재료를 해외에서 가공하여 완제품을 만든 후 이를 국내로 반입하지 않고 가공국 또는 제3국으로 수출하는 방식의 무역을 의미한다.
"가교은행 (架橋銀行, bridge bank)","가교은행은 부실금융기관의 정리(인수나 청산)를 위해 정부가 또는 정부기관이 출자해 설립하는 정리금융기관이다. 가교은행의 설립 목적은 부실금융기관이 청산될 때 생길 수 있는 금융시장의 충격을 최소화 하는 것이다. 가교은행은 부실금융기관을 인수할 대상자가 나타날 때까지 일시적으로 부실자산을 맡아 제한적으로 예금, 출금, 송금 등 기존의 업무를 유지하면서 정리절차를 진행한다.부실금융기관을 처리하는 방법에는 회생에 필요한 자금을 지원하거나 다른 금융기관과의 합병을 통해 정상화하는 방법과 우량 금융기관이 부실금융기관의 자산이나 부채를 승계하는 방법이 있다. 가교은행을 설립하여 부실금융기관을 처리하는 방법은 대부분 규모가 큰 부실금융기관을 정리할 때 주로 이용되는데, 외국의 사례를 통하여 볼 때 대부분 한시적으로 운용되며 부실금융기관 정리업무를 끝내고 나면 해체된다.?"
가구,"1인 또는 2인 이상이 모여서 취사, 취침 등 생계를 같이 하는 사회경제적 생활단위를 말한다. "
가구주,"호주 또는 세대주와는 관계없이 그 가구를 실질적으로 대표하는 사람을 말하며, 혈연관계가 없는 사람이 2인 이상 함께 사는 경우에는 그 중 연장자 또는 대표자를 선정하여 가구주로 한다.(인구주택총조사)
호주 또는 세대주와는 관계없이 해당가구의 구성원으로서 그 가구의 생계를 책임지고 있으며, 또한 사실상 생계유지를 위한 비용을 조달하는 사람을 가구주로 한다.(가계조사)"
가동률,"생산설비가 어느 정도 이용되는지를 나타내는 지표로서 사업체가 주어진 조건(설비, 노동, 생산효율 등)하에서 정상적으로 가동하였을 때 생산할 수 있는 최대 생산량(=생산능력)에 대한 실제 생산량의 비율(%)을 말한다."
가산금리 (加算金利),"고객의 신용도나 대출기간 등 여러 가지 조건에 따라 추가되는 금리를 말한다. 가산금리는 크게 신용가산금리와 기간가산금리로 구분된다. 신용가산금리는 직업이나 거래실적 등 개인의 신용도를 따져 결정하고, 기간가산금리는 대출금을 연장할 때 적용되는 추가금리다. "
가스수도비,"제조부문에서 발생한 수도료, 연료비 및 유류비 등을 말한다. 다만, 운송업종에 있어서 운송수익 창출에 직접 사용되는 연료비 및 유료비는 업종특성상 재료비로 계상된다."
"가압류 (假押留, provisional attachment)","금전채권 또는 금전채권으로 환산할 수 있는 청구권을 장래 강제집행이 불가능하게 될 경우, 채권자가 장래의 강제집행을 보전하기 위하여 채무자의 재산을 잠정적으로 압류하여 현상(現狀)을 보전하고 그 처분권을 박탈하여 두는 것을 목적으로 하는 집행보전 절차로서 기간이 도래하지 아니한 청구에 대하여도 할 수 있다. 집행보전절차라고도 하는데 가압류는 보전될 권리를 소송물로 하는 본안소송 및 강제집행의 존재를 예정하는 점에서 부수적인 성격을 띠고 있으나, 그 자체는 가압류명령을 발하는 절차와 이 명령을 특별한 채무명의로 하여 행하는 집행절차로 나누어지고, 이 두 절차는 각각 판결절차와 강제집행절차에 대응하므로 강제집행에 관한 규정이 원칙적으로 준용된다(민사소송법 707조). 가압류의 재판절차는 채권자의 신청에 의하여 개시된다. "
"가중값, 가중치","어떤 대상이 속해있는 집단에서, 다른 대상에 비해 상대적인 중요성을 수치로 나타내는 값을 말한다. 종합지수를 계산할 때는 개별 구성항목의 지수를 단순산술평균하지 않고 각 항목의 중요도를 고려하여 가중평균하는데 이때 중요도로 가중값을 사용한다. 예컨대 물가지수의 경우에는 상품거래금액 또는 소비지출금액을, 산업생산지수의 경우에는 부가가치액을 가중값으로 하고 있다."
가중평균지수,하위 개별 구성지수에 상대적인 중요도나 영향도에 해당하는 각각의 가중값을 적용하여 계산한 평균값을 말한다. 생산지수나 물가지수 등 각종 경제통계에서는 단순산술평균지수 보다는 가중평균지수를 많이 이용한다.
"가처분 (假處分, provisional disposition)","권리의 실현이 소송의 지연이나 강제집행을 피하기 위한 채무자의 재산은닉 등으로 위험에 처했을 경우, 그 보전을 위하여 그 권리에 관한 분쟁의 소송적 해결 또는 강제집행이 가능하게 되기까지 잠정적/가정적으로 행하여지는 처분을 말한다. 가처분에는 민사소송법상 소송물에 관한 가처분과 임시의 지위를 정하는 가처분이 있다. 전자는 금전채무 이외의 특정물의 급여/인도 그 밖의 특정의 급여를 목적으로 하는 청구권의 집행보전을 목적으로 하는 것이고, 후자는 다투는 권리관계에 대하여 임시의 지위를 정하는 것을 목적으로 하는 재판이다. 가처분명령은 가처분의 신청을 인용하는 재판을 말하는 것으로, 가처분집행의 채무명의가 된다. 가처분명령의 요건은 계쟁물(係爭物)에 관한 가처분과 쟁의있는 권리관계에 대한 임시지위를 정하는 가처분이 있다. "
"간접금융 (間接金融, indirect financing)","기업이 경영에 필요한 자금을 조달할 때 사내에 유보되어 있는 내부자금으로 충당하는 것을 내부금융이라 하고, 외부로부터 차입하는 것을 외부금융이라고 한다. 외부금융는 다시 직접금융과 간접금융으로 구분되는데, 직접금융은 기업이 자금조달과정에서 금융기관을 개입시키지 않고 공개시장(증권시장)을 통해 주식 또는 사채를 발행하여 투자자로부터 직접 자금을 조달하는 것을 말하고, 간접금융은 금융기관을 통해 일반으로부터 흡수된 예금을 차입하는 것을 말한다. 간접금융이란 자금을 필요로 하는 최종 차입자와 자금을 공급하는 최종 대출자가 직접적으로 연결되지 않고 그 사이에 신용중개기관이 존재하여 최종대출자의 자금을 흡수하여 이를 최종 차입자에게 공급시켜주는 금융관계를 말한다. 다시 말하면, 금융기관이 일반 대중으로부터 예금을 받아 이를 자신의 명의로 필요한 사람에게 대출해 주는 방식이다."
간접세와 직접세,"직접세(直接稅)는 소득세, 법인세, 상속세 등과 같이 소득이나 부에 대하여 부과하는 세금으로 세금을 '부담하는 사람'과 '납부하는 사람'이 일치해 조세부담이 전가(轉嫁)되지 않는 세금이다

간접세(間接稅)는 세금을 납부할 의무가 있는 납세의무자와 세금을 최종적으로 부담할 담세자가 일치하지 않고 조세의 부담이 다른 사람에게 전가되는 세금을 말한다. 이 경우 납세의무자가 납세는 대납(代納)하되 그 조세가 물품가격 등을 통해 조세부담자에게 다시 전가되는 것이다. 간접세로는 부가가치세, 특별소비세, 주세, 전화세, 증권거래세, 인지세 등이 있다. "
감가상각률,"비상각자산 즉 토지, 건설중인 자산을 제외한 나머지 유·무형자산에 대하여 당기에 어느정도 감가상각비를 계상하였는가를 나타내는 비율로서 이 비율이 높으면 유·무형자산에 대한 재투자비용 회수가 빠름을 의미한다."
감가상각비,토지와 건설중인 자산 같은 특수한 자산을 제외한 대부분의 고정자산은 여러 가지 원인(감모와 새로운 발명품 등에 의한 경제적 가치의 감소)에 의하여 그 가치가 점차 감소되어 경영목적에 사용할 수 없게 되며 결국에 가서는 폐기하게 된다. 일정기간(내용년수) 일정비율로 추산하여 비용으로 간주하는 절차를 감가상각이라 하며 이상과 같이 자산의 이용으로 발생하는 비용을 감가상각비라 한다.
감응도계수,"모든 산업부문의 생산물에 대한 최종수요가 각각 한 단위씩 증가하였을 때 어떤 산업이 받는 영향, 즉 전방연쇄효과의 정도를 전산업 평균에 대한 상대적 크기로 나타낸 계수"
"감자 (減資, reduction of capital)","감자란 자본감소를 줄인말로 기업(주식회사나 유한회사)이 단수(端數)자본금의 정리, 회사분할, 합병, 사업보전 등의 목적으로 자본총액을 줄이는 것이다. 감자의 대부분은 회사재산이 손실에 의하여 자본액을 밑돌 때 결손을 메우고 미래의 이익배당을 가능하게 하기 위한 것이며, 명의상/계산상/형식상의 감자가 보통이다. 그러나 사업내용의 축소 등에 의하여 불필요하게 된 회사재산을 사원이나 주주에게 반환하기 위하여 행하는 실질상의 감자도 있다. 감자의 방법으로는 주식의 액면금액을 감액하는 방법, 주식소각(消却)이나 주식병합(倂合)을 통해 주식수를 줄이는 방법, 그리고 이 두 방법을 병용해 사용하는 방법 등이 있다. 감자는 채권자의 담보를 감소시키고 주주의 이해관계에 영향을 미치므로 주주총회의 특별결의 및 채권자 보호절차를 필요로 한다. "
강제경매 (强制競賣),"민사소송법상의 부동산에 대한 강제집행절차(민사소송법 601~666조)에 의하면 강제경매는 법원에서 채무자의 부동산을 압류/매각하여 그 대금으로 채권자의 금전채권의 만족에 충당시키는 절차이다. 부동산에 대한 강제집행 방법으로는 강제경매와 강제관리의 2가지가 있는데, 양자는 모두 채권자의 신청에 의하여 개시되지만(599조 1항), 채권자는 그 중 하나를 선택하거나 병용할 수 있다. 예를 들면, 먼저 강제관리를 하면서 매각에 적당한 시기를 기다렸다가 강제경매를 할수 있는 것과 같다. 강제경매에 의하여 취득한 부동산 소유권은 등기를 하지 않아도 효력이 발생한다(민법 187조). "
강제화의,파산절차가 시작된 후 파산자와 파산채권자 사이의 합의에 의해 파산채권에 대해 청산배당을 하지 않고 다른 변제방법을 정하여 파산을 종결시킬 수 있는데 이러한 제도를 강제화의라고 한다. 결국 파산절차 중에 회사의 갱생을 도모하는 제도로서 화의법에 의한 화의와 구분하기 위해 강제화의라는 용어를 쓰고 있다. 강제화의는 파산절차를 취함으로써 입게 되는 피해를 막고 파산자를 재기시켜 채권자들이 더 많은 변제를 받을 수 있는 방안으로 마련된 제도적 장치이다. 
개발비,"특정 신제품 또는 신기술의 개발을 위한 내부 프로젝트는 연구단계와 개발단계로 구분하되 연구단계에서 발생한 모든 지출이나 개발단계에서 발생한 지출중 일정요건을 갖추지 못하는 경우에는 경상개발비·연구비 과목으로 해당기간의 비용으로 처리한다.
개발비가 무형자산으로 인식되기 위해서는 기술적 실현가능성, 개발후 완성자산을 사용하거나 판매하려는 기업의 의도나 능력, 미래 경제적 효익 창출력, 개발단계에서 발생한 지출의 객관적 측정가능성 등의 요건이 충족되어야 한다."
개발비상각,"무형자산으로서의 개발비에 대한 상각액을 말한다. 개발비란 신제품 또는 신기술개발과 관련하여 제품 및 용역의 생산을 위한 계획이나 설계에 대해 발생한 비용을 말하는데 이러한 개발비 중 무형자산인 개발비요건을 충족하지 못하는 경우 당기비용인 경상개발비로 처리하고, 요건을 충족하는 경우 무형자산인 개발비로 처리한다. 이에 대한 상각액이 개발비 상각이다."
개별 소비의 목적별 분류,"개별 소비의 목적별 분류(COICOP, Classification of Individual Consumption by Purpose)는 유엔 통계국에서 제정한 통계분류체계로, 가계의 소비지출을 실제 개별 소비 목적 별로 12개 부분으로 구분한다. 주요 항목으로는 식료품 및 비주류음료, 주류 및 담배, 의류 및 신발, 주거 및 수도광열, 보건, 교통 등이 있다."
개별가격지수,한 품목의 가격변화를 기준시점의 가격에 대한 비교시점 가격의 비율로 산출한 수치를 말한다. 일정한 시기를 기준(=100)으로 하여 개별상품의 시기에 따른 가격변동을 지수화한 것이다.
개별수량지수,한 품목의 수량변화를 기준시점의 수량에 대한 비교시점 수량의 비율로 산출한 수치를 말한다. 명목 금액의 변화에는 가격변동에 의하여 변화한 부분과 수량의 변화에 의하여 물리적으로 변화한 부분이 있는데 수량지수는 그 중 수량의 변화 부분을 나타낸다.
개별정리방식,"한국자산관리공사의 부실채권 정리방법의 하나로 개별정리방식은 개별자산에 대하여 가능한 한 높은 가격에 채권을 회수하는 것을 주안점으로 추진되는 방법으로 유입자산공매, 법원경매, 채권추심(자진변제 유도 및 은닉재산 발견), 기업채권매각 등으로 구분된다. 여기서 기업채권매각은 한국자산관리공사가 금융기관으로부터 인수한 부실채권을 개별기업단위로 매각함으로써 부실채권정리기금의 원활한 회수와 회수자금의 극대화를 도모하기 위하여 2000년 3월초 의욕적으로 도입한 제도의 하나로 공개경쟁입찰을 통하여 제3자에게 직접 매각하거나 M&A방식으로 매각하는 것이다. 기업채권 매각에서는 대량매각에서와 달리 개별채권 자체가 매각대상이 되므로 개별채권의 가치에 대한 중요도가 매각성사 여부를 결정한다. 이와 달리 유입자산 공매, 법원경매, 채권추심 등은 채무자로부터 직접 변제를 받거나 담보물을 경매처분하여 회수하는 방법으로 채권회수에 있어 가장 일반적이고 전통적인 방법이다. "
개별정산,"부실채권의 초기 매입시기인 IMF관리체제 이후 부실채권의 급증으로 금융기관의 유동성위기 해소가 시급한 과제로 등장함에 따라, 한국자산관리공사는 우선 금융기관에 대한 유동성 공급 차원에서 금융기관별로 일괄하여 개산된 금액으로 대금을 선지급하고, 사후에 채무자별로 정산하는 방식으로 부실채권을 매입하였다. 개별정산기준은 일반채권, 일반무담보채권, 특별채권이 다르게 산정되었다. 일반담보부채권의 매입가격은 기준가격에 할인부분가격을 합하여 산정하였다. 기준가격은 담보물건의 감정평가액에 법원경매의 평균낙찰률을 곱하여 산출한 가격에서 선순위채권과 경매비용 등을 공제한 금액을 말한다. "
개별정산대금,개별정산대금은 한국자산관리공사가 특별채권의 매입에 따라 금융기관에 지급하는 매입대금으로 차주별 변제금액에 현재가치 할인율을 적용하여 산출한 현재가치 금액을 말한다. 
개별정산차액금,"원칙적으로 금융기관은 한국자산관리공사에 일괄매매반환대금을 반환하고 한국자산관리공사는 금융기관에 개별정산대금을 새로이 지급하여야 하나, 실제로는 그 금액의 차액만을 금융기관과 상호 수수한다. 개별정산차액금은 일괄매매반환대금에서 개별정산대금을 차감한 금액을 말한다. "
개산가격기준(매입률),"한국자산관리공사는 금융기관의 부실채권을 매입할 때 부실채권의 특성에 따라 일반채권과 특별채권을 구분하여 산정하였다. 일반채권의 경우 은행 부실채권의 개산가격은 은행감독원의 대손충당금 설정비율을 기준으로 산정하였으며, 종금사 부실채권의 개산가격은 은행에 준하여 산정하였다. 특별채권의 경우에는 기업의 순자산가치/시장가치를 종합적으로 반영하는 해당계열 주기업체의 주식시장가격을 기준으로 산정하였다."
개인부문,"개인부문은 도시농어가 등의 가계와 개인기업 중 비법인기업으로 분류되지 않는 소규모 개인기업, 가계에 봉사하는 민간의 비영리기관을 포함한다. 민간의 비영리기관에는 민간의 조사 및 과학연구기관, 사립학교, 종교단체, 재단의 형태를 갖춘 병원, 직능단체, 소비자단체, 정당, 노동조합 등이 포함된다."
개인소득,"개인(가계 + 개인기업)에게 귀속되는 소득으로, 국민소득에서 법인세와 사내유보이윤을 제하고 정부 및 기업의 이전지출을 더하여 구한다.
· PI = NI(국민소득) - 법인세 - 사내유보이윤 + 정부 및 기업의 이전지출"
"개인신용평가시스템 (個人信用評價 - , CSS: Ｃredit Ｓcoring Ｓystem)","개인이 대출을 신청할 때 종전에는 직업등급표 연간소득 등 단순한 기준을 적용했다. 그러나 개인신용시스템(CSS)은 대출을 신청할 때 작성하는 인적사항과 직장/소득현황/재무상태 등 신용과 관련된 모든 사항을 항목별로 점수화하여 이 점수에 따라 대출 가능여부와 대출금액을 산정하는 시스템이다. 선진국 대부분의 은행들은 대출할 때 보편적으로 개인신용시스템을 적용하고 있다. 우리나라의 경우에도 최근 은행들이 신용대출을 확대하고 인터넷뱅킹을 시작하면서 개인신용시스템을 잇따라 도입하고 있다.개인신용시스템은 개발된 모형의 시스템 구축을 통하여 효율적인 위험관리와 시스템 심사를 통한 경비절감뿐만 아니라 합리적인 의사결정, 신속하고 일관성 있는 심사지원으로 고객만족 실현이 가능하다. 개인신용시스템은 신용공여 상품의 신용주기(Credit Cycle)에 따라 신청평점시스템(ASS: Application Scoring System)과 행동평점시스템(BSS: Behavior Scoring System)으로 나누어진다. "
